status_id,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
246675545449582_1649696485147474,432,92,3,1,1,0
246675545449582_1649426988507757,150,0,0,0,0,0
246675545449582_1648730588577397,204,21,1,1,0,0
246675545449582_1648576705259452,111,0,0,0,0,0
246675545449582_1645700502213739,204,9,0,0,0,0
246675545449582_1645650162218773,211,5,1,0,0,0
246675545449582_1645564175560705,418,70,10,2,0,3
246675545449582_1644824665634656,260,32,1,1,0,1
246675545449582_1644655795651543,198,5,0,0,0,0
246675545449582_1638788379571618,167,3,0,0,0,0
246675545449582_1637655039684952,202,7,1,0,0,0
246675545449582_1636730006444122,213,5,4,0,0,0
246675545449582_1635846033199186,305,6,2,0,0,0
246675545449582_1635730986544024,200,8,1,0,0,0
246675545449582_1632874756829647,335,10,1,0,0,0
246675545449582_1628507150599741,303,23,1,5,0,0
246675545449582_1626584134125376,117,18,0,0,0,0
246675545449582_1622470701203386,132,16,1,0,1,0
246675545449582_1619188648198258,192,28,0,1,0,0
246675545449582_1617858078331315,149,3,0,0,0,0
246675545449582_1617109651739491,221,12,1,0,0,0
246675545449582_1617051285078661,217,7,2,1,0,0
246675545449582_1615645795219210,96,0,2,0,0,0
246675545449582_1615629888554134,18,0,0,0,0,0
246675545449582_1615585301891926,100,0,2,0,0,0
246675545449582_1615510251899431,37,0,0,0,0,0
246675545449582_1612677855516004,70,5,0,0,0,0
246675545449582_1612652492185207,85,5,0,0,0,0
246675545449582_1607114469405676,138,7,0,0,0,0
246675545449582_1603834916400298,229,22,1,1,0,0
246675545449582_1603743213076135,81,2,2,0,0,0
246675545449582_1601965753253881,40,5,0,0,0,0
246675545449582_1601596129957510,85,4,2,1,0,0
246675545449582_1601516779965445,116,8,1,0,0,0
246675545449582_1599664246817365,116,3,0,0,0,0
246675545449582_1599393216844468,281,11,1,0,0,0
246675545449582_1596564337127356,110,16,2,0,0,0
246675545449582_1594428064007650,78,5,1,0,0,0
246675545449582_1594137564036700,61,4,1,0,0,0
246675545449582_1592459934204463,150,19,1,1,0,0
246675545449582_1591545580962565,79,10,1,0,0,0
246675545449582_1587015831415540,121,16,1,1,0,0
246675545449582_1585003828283407,201,33,0,1,0,1
246675545449582_1584252028358587,193,30,0,2,0,0
246675545449582_1583900568393733,260,11,4,0,0,0
246675545449582_1583080255142431,334,31,1,1,1,4
246675545449582_1580958342021289,419,23,3,0,0,0
246675545449582_1580162495434207,114,13,0,0,0,1
246675545449582_1578866802230443,163,19,0,3,0,1
246675545449582_1577938978989892,254,42,2,8,3,0
246675545449582_1577078175742639,75,2,0,0,0,0
246675545449582_1576207142496409,103,16,0,0,0,0
246675545449582_1574973649286425,95,5,0,0,0,0
246675545449582_1574253679358422,193,44,1,1,0,1
246675545449582_1573231492793974,146,15,2,0,1,0
246675545449582_1572311072886016,171,30,1,0,0,0
246675545449582_1571313049652485,186,25,0,0,0,0
246675545449582_1570062096444247,136,10,0,2,0,0
246675545449582_1569275653189558,84,13,0,0,0,0
246675545449582_1568291729954617,254,20,3,1,1,0
246675545449582_1568182719965518,245,14,4,0,0,0
246675545449582_1568125783304545,151,25,1,0,0,0
246675545449582_1563157113801412,484,26,7,0,0,0
246675545449582_1563042160479574,256,33,0,0,0,0
246675545449582_1561427387307718,65,1,0,0,0,0
246675545449582_1561426890641101,104,8,0,0,0,0
246675545449582_1561178647332592,181,22,1,2,0,0
246675545449582_1560153374101786,305,56,0,0,1,0
246675545449582_1558134034303720,161,23,0,0,0,0
246675545449582_1557086421075148,199,16,0,0,0,1
246675545449582_1557066321077158,56,1,0,0,0,0
246675545449582_1556033787847078,226,44,1,1,0,0
246675545449582_1555610941222696,208,33,3,2,0,2
246675545449582_1555011641282626,110,20,1,0,0,1
246675545449582_1553995058050951,196,30,0,0,0,0
